epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,675.383,0.74372,0.40762,0.8528,0.99697,1,0.995,0.76116,0.99463,0.40928,0.9176,0.000979621,0.000979621,0.000979621
73,685.094,0.76082,0.40467,0.86165,0.99625,1,0.995,0.74534,1.06751,0.40502,0.92802,0.000963952,0.000963952,0.000963952
74,694.665,0.77818,0.42041,0.85688,0.99538,1,0.995,0.78557,0.9061,0.38783,0.89713,0.000948263,0.000948263,0.000948263
75,704.077,0.76443,0.40093,0.84994,0.99469,1,0.995,0.78108,0.93139,0.38639,0.91165,0.00093256,0.00093256,0.00093256
76,713.128,0.7474,0.40753,0.86406,0.99435,1,0.995,0.7702,0.94754,0.38074,0.91465,0.00091685,0.00091685,0.00091685
77,722.626,0.73445,0.39347,0.85823,0.99589,0.93749,0.99346,0.73743,1.04277,0.56753,0.95128,0.00090114,0.00090114,0.00090114
78,732.034,0.80005,0.41639,0.87001,0.99157,1,0.995,0.73964,1.07986,0.43282,0.95931,0.000885437,0.000885437,0.000885437
79,741.081,0.78586,0.42189,0.85858,0.99577,1,0.995,0.75773,0.9663,0.3819,0.92433,0.000869748,0.000869748,0.000869748
80,750.838,0.78404,0.43096,0.87243,0.98088,1,0.995,0.7543,0.98136,0.44563,0.9196,0.000854079,0.000854079,0.000854079
81,760.212,0.73994,0.40665,0.86488,0.98727,0.99883,0.995,0.74704,1.03833,0.40138,0.94202,0.000838438,0.000838438,0.000838438
82,769.422,0.75563,0.39828,0.86517,0.98838,1,0.995,0.74538,1.03455,0.41379,0.92795,0.000822831,0.000822831,0.000822831
83,778.522,0.76941,0.41165,0.86228,0.99491,1,0.995,0.75309,0.98544,0.3774,0.91623,0.000807266,0.000807266,0.000807266
84,787.801,0.75054,0.37913,0.86227,0.99379,1,0.995,0.76191,0.93776,0.37305,0.91479,0.000791748,0.000791748,0.000791748
85,797.041,0.72567,0.39343,0.85598,0.99531,1,0.995,0.77267,0.8932,0.35292,0.90473,0.000776286,0.000776286,0.000776286
86,805.861,0.73123,0.38731,0.84812,0.99624,1,0.995,0.76788,0.8955,0.37867,0.90844,0.000760885,0.000760885,0.000760885
87,815.386,0.76062,0.4105,0.8758,0.99255,1,0.995,0.77263,0.95169,0.38573,0.91007,0.000745553,0.000745553,0.000745553
88,824.726,0.76313,0.3879,0.86671,0.9947,1,0.995,0.7657,0.95563,0.37314,0.91138,0.000730295,0.000730295,0.000730295
89,833.601,0.73828,0.36975,0.85412,0.9973,1,0.995,0.7492,1.00962,0.3946,0.92355,0.00071512,0.00071512,0.00071512
90,843.058,0.74158,0.38208,0.84016,0.9971,1,0.995,0.74222,0.99909,0.39218,0.9263,0.000700033,0.000700033,0.000700033
91,852.679,0.71535,0.36416,0.85495,0.99648,1,0.995,0.74932,0.98631,0.38383,0.91617,0.000685041,0.000685041,0.000685041
92,861.956,0.74877,0.38444,0.85853,0.99554,1,0.995,0.76039,0.9734,0.38075,0.9137,0.000670151,0.000670151,0.000670151
93,871.032,0.71774,0.3942,0.85759,0.99423,1,0.995,0.76085,0.93011,0.36019,0.90802,0.000655369,0.000655369,0.000655369
94,880.403,0.68183,0.37383,0.85227,0.99515,1,0.995,0.7603,0.94864,0.37401,0.90788,0.000640701,0.000640701,0.000640701
95,889.79,0.71301,0.37223,0.84284,0.99564,1,0.995,0.77148,0.89738,0.36363,0.90004,0.000626155,0.000626155,0.000626155
96,898.608,0.70917,0.38325,0.8419,0.99606,1,0.995,0.78734,0.91896,0.3709,0.90267,0.000611737,0.000611737,0.000611737
97,908.328,0.73053,0.39425,0.84699,0.99425,1,0.995,0.78694,0.89654,0.36624,0.89879,0.000597452,0.000597452,0.000597452
98,917.665,0.69613,0.38088,0.85082,0.99597,1,0.995,0.78018,0.90551,0.36032,0.89657,0.000583307,0.000583307,0.000583307
99,926.503,0.69408,0.35995,0.84805,0.99569,1,0.995,0.7636,0.94198,0.37532,0.90381,0.000569308,0.000569308,0.000569308
100,935.723,0.73229,0.38786,0.85207,0.99531,1,0.995,0.74083,0.99704,0.38184,0.91175,0.000555462,0.000555462,0.000555462
101,944.97,0.68466,0.38128,0.83997,0.99438,1,0.995,0.76005,0.96916,0.36608,0.90459,0.000541775,0.000541775,0.000541775
102,954.203,0.71767,0.37608,0.8477,0.99393,1,0.995,0.78251,0.90592,0.37314,0.89957,0.000528252,0.000528252,0.000528252
103,963.211,0.72253,0.36622,0.8576,0.99337,1,0.995,0.77208,0.94242,0.37792,0.90815,0.0005149,0.0005149,0.0005149
104,972.464,0.69179,0.36534,0.84794,0.99349,1,0.995,0.76629,0.96767,0.37429,0.91401,0.000501723,0.000501723,0.000501723
105,981.908,0.71098,0.37687,0.84586,0.99316,1,0.995,0.79452,0.9087,0.38643,0.90907,0.000488729,0.000488729,0.000488729
106,990.915,0.69851,0.38549,0.83626,0.99318,1,0.995,0.77031,0.98132,0.4007,0.92083,0.000475923,0.000475923,0.000475923
107,1000.32,0.69623,0.37477,0.84608,0.99424,1,0.995,0.76522,0.98199,0.37887,0.91689,0.00046331,0.00046331,0.00046331
108,1009.75,0.69366,0.36305,0.84407,0.99384,1,0.995,0.79991,0.89861,0.36196,0.91019,0.000450896,0.000450896,0.000450896
109,1018.69,0.6945,0.35446,0.8531,0.98698,1,0.995,0.76243,1.00369,0.39497,0.93052,0.000438686,0.000438686,0.000438686
110,1028.3,0.72489,0.38791,0.84396,0.98671,1,0.995,0.74818,1.1065,0.42409,0.94189,0.000426687,0.000426687,0.000426687
111,1037.9,0.719,0.38788,0.83958,0.99186,1,0.995,0.75433,0.99002,0.38716,0.91835,0.000414902,0.000414902,0.000414902
112,1047.46,0.71049,0.37686,0.83593,0.99531,1,0.995,0.77841,0.89433,0.36149,0.90187,0.000403337,0.000403337,0.000403337
113,1056.48,0.71223,0.37734,0.8424,0.99628,1,0.995,0.75162,0.97508,0.37297,0.91236,0.000391998,0.000391998,0.000391998
114,1065.99,0.68267,0.36529,0.83151,0.99568,1,0.995,0.7493,1.0485,0.37824,0.92282,0.000380888,0.000380888,0.000380888
